ID,P18_genere,P19_edat,P21_salari_brut_anual,P22_urba_rural,P22_provincia
229,R18_home,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
230,R18_dona,R19_25-34anys,R21_menys_11000,R22_urba,R22_barcelona
231,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
232,R18_dona,R19_65anys_mes,R21_menys_11000,R22_urba,R22_barcelona
233,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
234,R18_home,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
235,R18_dona,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
236,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
237,R18_dona,R19_65anys_mes,R21_17000-24999,R22_urba,R22_barcelona
238,R18_dona,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
239,R18_home,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
240,R18_dona,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
241,R18_dona,R19_35-44anys,R21_11000-16999,R22_urba,R22_barcelona
242,R18_dona,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
243,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
244,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
245,R18_dona,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
246,R18_home,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
247,R18_dona,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
248,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
249,R18_dona,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
250,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
251,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
255,R18_dona,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
256,R18_home,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
257,R18_dona,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
258,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
259,R18_dona,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
260,R18_home,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
261,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
262,R18_dona,R19_55-64anys,R21_36000-49999,R22_urba,R22_barcelona
263,R18_dona,R19_55-64anys,R21_menys_11000,R22_urba,R22_barcelona
264,R18_dona,R19_25-34anys,R21_menys_11000,R22_urba,R22_barcelona
265,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
266,R18_dona,R19_25-34anys,R21_17000-24999,R22_semidens,R22_lleida
267,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_lleida
268,R18_home,R19_25-34anys,R21_17000-24999,R22_semidens,R22_barcelona
270,R18_home,R19_25-34anys,R21_17000-24999,R22_semidens,R22_lleida
271,R18_dona,R19_65anys_mes,R21_50000_mes,R22_urba,R22_barcelona
273,R18_home,R19_16-24anys,R21_25000-35999,R22_semidens,R22_girona
274,R18_dona,R19_16-24anys,R21_25000-35999,R22_urba,R22_girona
275,R18_dona,R19_45-54anys,R21_25000-35999,R22_semidens,R22_girona
276,R18_home,R19_25-34anys,R21_50000_mes,R22_urba,R22_barcelona
277,R18_dona,R19_25-34anys,R21_17000-24999,R22_semidens,R22_girona
278,R18_dona,R19_35-44anys,R21_17000-24999,R22_rural,R22_barcelona
279,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_girona
280,R18_dona,R19_65anys_mes,R21_36000-49999,R22_urba,R22_barcelona
281,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_girona
283,R18_dona,R19_25-34anys,R21_17000-24999,R22_semidens,R22_lleida
284,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_girona
285,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
286,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
287,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_girona
288,R18_home,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
289,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_girona
290,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_girona
291,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_girona
292,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_girona
293,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_girona
294,R18_dona,R19_25-34anys,R21_36000-49999,R22_urba,R22_girona
295,R18_dona,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
296,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
297,R18_dona,R19_25-34anys,R21_17000-24999,R22_semidens,R22_girona
298,R18_dona,R19_16-24anys,R21_11000-16999,R22_semidens,R22_barcelona
299,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_girona
300,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_barcelona
301,R18_dona,R19_16-24anys,R21_menys_11000,R22_semidens,R22_barcelona
302,R18_dona,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
303,R18_home,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
304,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
306,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_girona
307,R18_dona,R19_25-34anys,R21_17000-24999,R22_semidens,R22_lleida
310,R18_dona,R19_25-34anys,R21_menys_11000,R22_urba,R22_girona
311,R18_dona,R19_25-34anys,R21_11000-16999,R22_semidens,R22_girona
312,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_barcelona
313,R18_dona,R19_16-24anys,R21_17000-24999,R22_semidens,R22_barcelona
314,R18_dona,R19_25-34anys,R21_36000-49999,R22_urba,R22_girona
315,R18_dona,R19_25-34anys,R21_17000-24999,R22_semidens,R22_barcelona
316,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
317,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
318,R18_home,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
319,R18_dona,R19_16-24anys,R21_menys_11000,R22_rural,R22_barcelona
320,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
321,R18_dona,R19_25-34anys,R21_menys_11000,R22_urba,R22_barcelona
322,R18_dona,R19_25-34anys,R21_11000-16999,R22_urba,R22_barcelona
323,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
324,R18_home,R19_55-64anys,R21_25000-35999,R22_semidens,R22_barcelona
325,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
326,R18_dona,R19_55-64anys,R21_17000-24999,R22_urba,R22_barcelona
327,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
328,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
329,R18_home,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
330,R18_home,R19_25-34anys,R21_11000-16999,R22_urba,R22_barcelona
331,R18_home,R19_35-44anys,R21_17000-24999,R22_urba,R22_barcelona
332,R18_home,R19_45-54anys,R21_50000_mes,R22_semidens,R22_girona
333,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
335,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
336,R18_dona,R19_55-64anys,R21_11000-16999,R22_urba,R22_barcelona
337,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
338,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
339,R18_home,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
340,R18_dona,R19_55-64anys,R21_36000-49999,R22_semidens,R22_tarragona
341,R18_dona,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
342,R18_dona,R19_55-64anys,R21_36000-49999,R22_urba,R22_barcelona
343,R18_home,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
344,R18_home,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
345,R18_dona,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
346,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
347,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
348,R18_dona,R19_35-44anys,R21_50000_mes,R22_urba,R22_barcelona
349,R18_dona,R19_55-64anys,R21_17000-24999,R22_urba,R22_barcelona
350,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
351,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
352,R18_dona,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
353,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
354,R18_dona,R19_55-64anys,R21_36000-49999,R22_semidens,R22_barcelona
355,R18_home,R19_25-34anys,R21_11000-16999,R22_urba,R22_lleida
356,R18_home,R19_25-34anys,R21_36000-49999,R22_rural,R22_lleida
357,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_lleida
358,R18_dona,R19_25-34anys,R21_25000-35999,R22_semidens,R22_lleida
359,R18_home,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
360,R18_home,R19_55-64anys,R21_50000_mes,R22_urba,R22_barcelona
361,R18_dona,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
362,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
363,R18_dona,R19_35-44anys,R21_25000-35999,R22_semidens,R22_lleida
364,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
365,R18_dona,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
366,R18_home,R19_25-34anys,R21_17000-24999,R22_semidens,R22_lleida
367,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
368,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
369,R18_dona,R19_35-44anys,R21_36000-49999,R22_urba,R22_barcelona
370,R18_dona,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
371,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
372,R18_dona,R19_45-54anys,R21_17000-24999,R22_rural,R22_girona
373,R18_dona,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
374,R18_home,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
375,R18_dona,R19_25-34anys,R21_11000-16999,R22_rural,R22_barcelona
376,R18_home,R19_35-44anys,R21_36000-49999,R22_semidens,R22_barcelona
