cov_cat,var_cat,residual,significant,var,cov,p,sig,var_type
Barcelona,Medium,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Girona,Medium,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Lleida,Medium,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Tarragona,Medium,NA,FALSE,Limited size availability,Q22C_province,0.4437508362950474,,barriers
Man,High,NA,FALSE,Comparable price to new clothing,Q18_gender,0.7351801812552191,,barriers
Woman,High,NA,FALSE,Comparable price to new clothing,Q18_gender,0.7351801812552191,,barriers
Man,Low,NA,FALSE,Comparable price to new clothing,Q18_gender,0.7351801812552191,,barriers
Woman,Low,NA,FALSE,Comparable price to new clothing,Q18_gender,0.7351801812552191,,barriers
Man,Medium,NA,FALSE,Comparable price to new clothing,Q18_gender,0.7351801812552191,,barriers
Woman,Medium,NA,FALSE,Comparable price to new clothing,Q18_gender,0.7351801812552191,,barriers
16-34,High,0.9256457626242848,FALSE,Comparable price to new clothing,Q19_age,0.00488757836521105,,barriers
35-54,High,1.1807878144837716,FALSE,Comparable price to new clothing,Q19_age,0.00488757836521105,,barriers
≥ 55,High,-1.9947248845053456,TRUE,Comparable price to new clothing,Q19_age,0.00488757836521105,*,barriers
16-34,Low,-1.1212532136201558,FALSE,Comparable price to new clothing,Q19_age,0.00488757836521105,,barriers
35-54,Low,-1.0803911176214025,FALSE,Comparable price to new clothing,Q19_age,0.00488757836521105,,barriers
≥ 55,Low,2.049701266940419,TRUE,Comparable price to new clothing,Q19_age,0.00488757836521105,*,barriers
16-34,Medium,0.7715256652996728,FALSE,Comparable price to new clothing,Q19_age,0.00488757836521105,,barriers
35-54,Medium,0.4628736335175629,FALSE,Comparable price to new clothing,Q19_age,0.00488757836521105,,barriers
≥ 55,Medium,-1.1165175356976376,FALSE,Comparable price to new clothing,Q19_age,0.00488757836521105,,barriers
"[17,000, 36,000)",High,-1.902570035623268,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"< 17,000",High,0.9103611899965168,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"≥ 36,000",High,1.4021099983554015,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"[17,000, 36,000)",Low,0.46731028939112906,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"< 17,000",Low,-1.007250574949345,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"≥ 36,000",Low,0.19113997106614855,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"[17,000, 36,000)",Medium,1.151438727209553,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"< 17,000",Medium,0.6165274973606347,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
"≥ 36,000",Medium,-1.6463890139450488,FALSE,Comparable price to new clothing,Q21_annual_gross_salary,0.01661990405532336,,barriers
Rural,High,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Town and suburb,High,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Urban,High,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Rural,Low,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Town and suburb,Low,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Urban,Low,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Rural,Medium,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Town and suburb,Medium,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Urban,Medium,NA,FALSE,Comparable price to new clothing,Q22B_degurba,0.669204590621432,,barriers
Barcelona,High,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Girona,High,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Lleida,High,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Tarragona,High,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Barcelona,Low,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Girona,Low,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Lleida,Low,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Tarragona,Low,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Barcelona,Medium,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Girona,Medium,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Lleida,Medium,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Tarragona,Medium,NA,FALSE,Comparable price to new clothing,Q22C_province,0.8202793018659433,,barriers
Man,High,NA,FALSE,Environmental scepticism,Q18_gender,0.9825099753280084,,barriers
Woman,High,NA,FALSE,Environmental scepticism,Q18_gender,0.9825099753280084,,barriers
Man,Low,NA,FALSE,Environmental scepticism,Q18_gender,0.9825099753280084,,barriers
Woman,Low,NA,FALSE,Environmental scepticism,Q18_gender,0.9825099753280084,,barriers
Man,Medium,NA,FALSE,Environmental scepticism,Q18_gender,0.9825099753280084,,barriers
Woman,Medium,NA,FALSE,Environmental scepticism,Q18_gender,0.9825099753280084,,barriers
16-34,High,-1.367818232095922,FALSE,Environmental scepticism,Q19_age,3.7120342823802085e-5,,barriers
35-54,High,-1.2227659039453076,FALSE,Environmental scepticism,Q19_age,3.7120342823802085e-5,,barriers
≥ 55,High,2.4007045131403237,TRUE,Environmental scepticism,Q19_age,3.7120342823802085e-5,*,barriers
16-34,Low,1.5105670136341645,FALSE,Environmental scepticism,Q19_age,3.7120342823802085e-5,,barriers
35-54,Low,0.6640077931540034,FALSE,Environmental scepticism,Q19_age,3.7120342823802085e-5,,barriers
≥ 55,Low,-1.9322629224846064,FALSE,Environmental scepticism,Q19_age,3.7120342823802085e-5,,barriers
16-34,Medium,-2.138437687549175,TRUE,Environmental scepticism,Q19_age,3.7120342823802085e-5,*,barriers
35-54,Medium,-0.512776363049105,FALSE,Environmental scepticism,Q19_age,3.7120342823802085e-5,,barriers
≥ 55,Medium,2.2878829796449716,TRUE,Environmental scepticism,Q19_age,3.7120342823802085e-5,*,barriers
"[17,000, 36,000)",High,NA,FALSE,Environmental scepticism,Q21_annual_gross_salary,0.5429450415259348,,barriers
"< 17,000",High,NA,FALSE,Environmental scepticism,Q21_annual_gross_salary,0.5429450415259348,,barriers
